country,horizon,mse,rmse,mae,mape,mdape,smape,coverage
Denmark,1077 days 01:33:54.782608688,11.226672086298151,3.1788277737410424,2.365679340209161,,1.1998692446802517,0.9393049771810842,0.6542443064182194
Djibouti,1077 days 01:33:54.782608688,23.44932425041049,4.65716251768194,3.8969262532626905,2.3645232627642234,1.0129875398724768,1.1558566737080764,0.525879917184265
Dominica,1077 days 01:33:54.782608688,51.58597388102445,6.688223953421844,5.020182639760874,,1.4039601659142358,1.6352668046141714,0.5300207039337473
Dominican Republic,1077 days 01:33:54.782608688,26.18177315355373,4.868471802959885,3.8881315788387605,1.0066186167013291,0.6970743190523481,0.8516258767035927,0.629399585921325
East Asia,1077 days 01:33:54.782608688,5.982523261185599,2.36055818156479,1.8548770297152615,0.509788989817521,0.21981749158455693,0.3099362786602351,0.5341614906832298
Eastern Europe ,1077 days 01:33:54.782608688,60.695111198200046,7.6151262688368,6.463778206683386,4.9972097484936855,1.7443177899197717,1.3579734168095186,0.43685300207039335
Ecuador,1077 days 01:33:54.782608688,31.82488374094005,5.071074584999934,3.6071662434837086,,0.7400240871351221,0.8909522378705743,0.7267080745341614
Egypt,1077 days 01:33:54.782608688,22.26926687975645,4.470349585810281,3.1679790049016843,1.2373549366779264,0.4565203965759275,0.6049680928522202,0.5134575569358178
El Salvador,1077 days 01:33:54.782608688,30.825064882163502,5.335304568971736,4.5317512582470805,3.049863269710923,1.7608403764444247,0.9405602240673928,0.42650103519668736
Emerging and Developing Asia,1077 days 01:33:54.782608688,6.545402418466841,2.3524735443012834,1.8804269946552765,0.7881431936282687,0.2094168559145488,0.27379550867335295,0.49482401656314695
Emerging and Developing Europe,1077 days 01:33:54.782608688,44.130125530500685,6.500411250388889,5.55996790359651,4.6649341158799436,1.7979815049269996,1.3037194784590256,0.38716356107660455
Emerging market and developing economies,1077 days 01:33:54.782608688,6.703575083099586,2.454212751062775,2.009964845507994,0.5579171215985148,0.38039310774204305,0.47044998628662954,0.41821946169772256
Equatorial Guinea,1077 days 01:33:54.782608688,1713.0015633892715,39.39331480537944,31.538620343381584,6.170509742878002,3.0106087198301115,1.4053151035116933,0.4658385093167701
Eritrea,1077 days 01:33:54.782608688,151.1744066421011,12.084606961490394,9.345108443078807,2.477777915578943,1.2214201925503658,1.56667144920024,0.5962732919254657
Estonia,1077 days 01:33:54.782608688,35.037456003864065,5.481174241071494,3.4748405799481876,1.0339222442614318,0.5418054675325477,0.720270872929928,0.6645962732919254
Eswatini,1077 days 01:33:54.782608688,40.312208493704524,6.072788124900659,4.414436473280424,1.506983486326234,1.0137348468791008,0.8327011935865863,0.6915113871635611
