country,horizon,mse,rmse,MAE,mape,mdape,smape,coverage
Bangladesh,1077 days 01:33:54.782608688,1.7237549872083693,1.2212692283394149,0.9079723667083271,0.19868772244959015,0.12495502297918715,0.2106153034903641,0.7556935817805382
Barbados,1077 days 01:33:54.782608688,26.125828190009607,4.91555826295555,3.7546084696349578,1.8870750030298202,1.4191373019921234,1.476105922254867,0.6169772256728778
Belarus,1077 days 01:33:54.782608688,73.8776392918505,8.373641006409734,7.117872132681575,2.7651958082127726,1.3681227655600583,1.386590388703873,0.45962732919254656
Belgium,1077 days 01:33:54.782608688,6.857327636432739,2.4983568050796925,1.8522372733740589,1.0582513044595958,0.6810179259005709,0.7711024863070359,0.5942028985507246
Belize,1077 days 01:33:54.782608688,79.24472254683576,8.684448398441425,6.5733105116338635,7.754064314716303,0.9556659298394959,0.9954714718102388,0.6356107660455486
Benin,1077 days 01:33:54.782608688,23.38685278767814,4.256277740133993,2.958983578674774,0.9582939614197633,0.5401689913767668,0.6495153070361386,0.7971014492753623
Bhutan,1077 days 01:33:54.782608688,39.92271025588454,6.0560792572830975,4.628027555494716,0.9636787645501947,0.4551337230810754,0.6345755366393746,0.629399585921325
Bolivia,1077 days 01:33:54.782608688,25.769523534425918,4.726809814328113,3.4932536780580046,1.9319119245057879,0.5951812601019933,0.7378929271419659,0.5838509316770186
Bosnia and Herzegovina,1077 days 01:33:54.782608688,217.16710079557342,13.820845920626041,10.732952905695356,2.695650005628573,1.318268601754128,1.141389348084823,0.8240165631469979
Botswana,1077 days 01:33:54.782608688,55.76560789595605,7.298124850832704,6.21013197013177,4.075223288550647,0.9334177552916189,1.3177357649556118,0.6273291925465838
Brazil,1077 days 01:33:54.782608688,32.80781053141055,5.3446451188081125,3.8599611542657812,3.4226895523833036,1.1343749429707046,1.0712476280790466,0.7681159420289855
Brunei Darussalam,1077 days 01:33:54.782608688,10.771461280422857,3.1687895984203305,2.5753752918112407,2.3432642245196154,1.4307418862522767,1.1721098320906598,0.5383022774327122
Bulgaria,1077 days 01:33:54.782608688,71.6455587899015,8.214254110036157,6.301042086255017,1.4717133730740373,1.103149972007712,1.2759587155024181,0.47619047619047616
Burkina Faso,1077 days 01:33:54.782608688,22.193604400514637,4.462594122382248,3.23785460881387,2.615799542939751,0.48679970256779864,0.6496091718356967,0.7287784679089027
Burundi,1077 days 01:33:54.782608688,40.186189105552224,5.94014766505382,4.682882033820721,2.2000721070174847,1.3339714028216185,1.313238702437391,0.6894409937888198
Cabo Verde,1077 days 01:33:54.782608688,28.516381361922118,5.014331235124774,3.983969007919372,1.6435756711580265,0.5462812933558746,0.74078040976836,0.4968944099378882
Cambodia,1077 days 01:33:54.782608688,22.8149231126199,4.538192931943834,3.5074649377153992,3.3610021980861173,0.33982093718227036,0.5678851072107669,0.6376811594202898
Cameroon,1077 days 01:33:54.782608688,59.46201988750682,7.551305725218871,5.724471503622755,1.572157817956223,1.0957983678966272,1.2724419978294967,0.5755693581780539
Canada,1077 days 01:33:54.782608688,10.08335999124133,3.1182358660407172,2.364253539498856,1.8153984989468768,0.6418117270255097,0.7890639320979657,0.6687370600414078
Caribbean,1077 days 01:33:54.782608688,17.644147925643097,4.028814224400486,3.1029490907053305,,1.3686327888250402,1.1735171198229715,0.45548654244306414
Central African Republic,1077 days 01:33:54.782608688,92.69932520781941,8.1907435796063,5.726106418619804,,1.1167777491115434,1.4483335952604874,0.8198757763975155
Central America,1077 days 01:33:54.782608688,11.734867351883251,3.1638208971424095,2.410961410606124,2.95275693604231,0.42426194673077144,0.6658467795090136,0.5817805383022774
Central Asia and the Caucasus,1077 days 01:33:54.782608688,32.693963235876794,5.484163934431561,4.391687108745619,2.0929967267865357,0.8053627628924496,0.8004198355804467,0.6935817805383022
Chad,1077 days 01:33:54.782608688,217.7511287090348,13.945065790276603,10.412541354849758,6.268294506822541,2.8844971537892996,1.1843000772756274,0.4782608695652174
Chile,1077 days 01:33:54.782608688,88.5877140349878,8.536026261053438,5.735198826802561,2.5565299281150713,1.1221201798067237,0.8525295403171889,0.7370600414078674
China,1077 days 01:33:54.782608688,26.219054400617665,4.824695708800453,3.7139675359005584,0.598715057310938,0.3423096728869181,0.3662076821249286,0.5755693581780539
Colombia,1077 days 01:33:54.782608688,14.290785309599396,3.6204358304330646,2.732840110790405,0.9083909326650313,0.542259788028914,0.7024837915939653,0.515527950310559
Comoros,1077 days 01:33:54.782608688,11.861072739639948,3.3719550628254042,2.7530425355080212,,0.8200432593054842,1.223002619699706,0.6252587991718426
Costa Rica,1077 days 01:33:54.782608688,16.965571069635978,3.992729687549856,3.338381142376506,1.1367296338316792,0.668895361946154,0.6475505602376289,0.7122153209109731
Croatia,1077 days 01:33:54.782608688,36.998958107461725,5.978358191554288,4.600052566789756,2.7501223171801374,1.0422702838204767,1.3042524512054092,0.4906832298136646
Cyprus,1077 days 01:33:54.782608688,14.592529538117242,3.7177962373051323,2.9162800202070436,1.3400198854805736,0.5151927332345254,0.821322773442122,0.5300207039337473
Czech Republic,1077 days 01:33:54.782608688,9.796223304706437,3.0373123659695738,2.3046184903247604,,0.5443618746487308,0.890194657119664,0.37060041407867494
Côte d'Ivoire,1077 days 01:33:54.782608688,27.245473322079093,5.020396550259743,3.96795650796143,,1.0656914283424783,1.2784023755438716,0.5445134575569358
Dem. Rep. of the Congo,1077 days 01:33:54.782608688,63.79816488246802,7.8132604798416585,6.412734949211413,1.9851595961341595,1.2220751380808277,1.2758336966019763,0.45548654244306414
Denmark,1077 days 01:33:54.782608688,11.226672086298157,3.1788277737410433,2.365679340209161,,1.1998692446802517,0.9393049771810842,0.639751552795031
Djibouti,1077 days 01:33:54.782608688,23.44932425041071,4.657162517681941,3.8969262532626616,2.3645232627642514,1.012987539872477,1.1558566737080667,0.5341614906832298
Dominica,1077 days 01:33:54.782608688,51.58597388102445,6.688223953421845,5.020182639760874,,1.4039601659142358,1.6352668046141716,0.5300207039337473
Dominican Republic,1077 days 01:33:54.782608688,26.18177315355372,4.868471802959884,3.8881315788387596,1.0066186167013287,0.697074319052348,0.8516258767035927,0.6687370600414078
East Asia,1077 days 01:33:54.782608688,5.982523261185599,2.3605581815647896,1.8548770297152615,0.509788989817521,0.21981749158455696,0.3099362786602351,0.5486542443064182
Eastern Europe ,1077 days 01:33:54.782608688,60.69511119820752,7.615126268837235,6.46377820668369,4.997209748494122,1.7443177899198123,1.3579734168095203,0.43685300207039335
Ecuador,1077 days 01:33:54.782608688,31.82488374094005,5.071074584999934,3.60716624348371,,0.7400240871351222,0.8909522378705743,0.7308488612836439
Egypt,1077 days 01:33:54.782608688,22.26926687976216,4.470349585811046,3.167979004903075,1.2373549366784384,0.4565203965766909,0.6049680928524669,0.5341614906832298
El Salvador,1077 days 01:33:54.782608688,30.82506488216348,5.335304568971734,4.53175125824708,3.0498632697109223,1.7608403764444247,0.940560224067393,0.4409937888198758
Emerging and Developing Asia,1077 days 01:33:54.782608688,6.545402418466826,2.3524735443012794,1.8804269946552743,0.7881431936282688,0.20941685591454867,0.2737955086733525,0.49482401656314695
Emerging and Developing Europe,1077 days 01:33:54.782608688,44.130125530500685,6.50041125038889,5.559967903596508,4.664934115879943,1.7979815049269996,1.3037194784590256,0.37267080745341613
Emerging market and developing economies,1077 days 01:33:54.782608688,6.703575083100347,2.4542127510629492,2.0099648455081107,0.557917121598529,0.38039310774206897,0.47044998628665197,0.432712215320911
Equatorial Guinea,1077 days 01:33:54.782608688,1713.0015633894811,39.39331480538233,31.538620343383997,6.170509742878607,3.0106087198301896,1.4053151035117075,0.4658385093167701
Eritrea,1077 days 01:33:54.782608688,151.17440664210108,12.084606961490392,9.345108443078807,2.477777915578943,1.2214201925503658,1.5666714492002398,0.5962732919254657
Estonia,1077 days 01:33:54.782608688,35.037488899495294,5.481177386580996,3.4746664763881623,1.0329728861114988,0.5418055528273086,0.7192370657369099,0.6749482401656315
